school_link,conferences,image_link,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
https://www.sports-reference.com/cbb/schools/arizona/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/arizona.png,37,40.3,30.2,61.3,0.492,22.4,39.3,0.571,7.8,22,0.352,15.8,21.4,0.739,11.6,29.8,41.4,19.6,6.7,5.7,13.4,16.7,84
https://www.sports-reference.com/cbb/schools/ucla/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/ucla.png,35,40.7,27.6,61.4,0.45,20.9,42.2,0.494,6.8,19.2,0.353,13.4,18.1,0.741,11.3,25.3,36.6,13.9,7,3.3,8.9,15.8,75.4
https://www.sports-reference.com/cbb/schools/southern-california/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/southern-california.png,34,40.3,26.8,58.9,0.455,20,39.9,0.501,6.8,18.9,0.357,12.1,18.2,0.664,11.7,28.4,40.1,14.3,5,4.4,12.2,15.6,72.4
https://www.sports-reference.com/cbb/schools/colorado/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/colorado.png,33,40.3,24.8,56,0.442,17.9,37.2,0.481,6.9,18.8,0.366,14.7,19.4,0.756,10,27.1,37.1,13.4,5.5,3.2,13.5,15.6,71.1
https://www.sports-reference.com/cbb/schools/washington-state/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/washington-state.png,37,40.1,24.5,60.5,0.406,15.6,33.8,0.462,8.9,26.7,0.335,13.4,18.1,0.744,12.5,24.7,37.2,11.2,6.4,4.5,11.2,17.4,71.5
https://www.sports-reference.com/cbb/schools/oregon/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/oregon.png,35,40.3,26.7,59.3,0.451,19.6,37.9,0.518,7.1,21.4,0.333,11.7,17.3,0.679,10.5,24.6,35.1,12.2,6.8,3.5,11.7,16.6,72.3
https://www.sports-reference.com/cbb/schools/washington/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/washington.png,32,40.5,24.9,60.3,0.413,18.7,40.5,0.462,6.2,19.8,0.312,14.7,20.9,0.701,11,22.4,33.4,10.2,8.3,4.1,11.9,16.6,70.6
https://www.sports-reference.com/cbb/schools/arizona-state/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/arizona-state.png,31,40.6,25,60.4,0.414,18.1,37.9,0.477,6.9,22.5,0.307,8.5,12.8,0.661,9.4,26.1,35.5,13.4,6.7,4.2,11.9,18.1,65.4
https://www.sports-reference.com/cbb/schools/stanford/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/stanford.png,32,40.2,24.1,55.6,0.433,16.8,34.1,0.492,7.3,21.5,0.339,11,16.7,0.659,11.5,25.4,36.9,13.1,5.6,2.6,15,17.4,66.4
https://www.sports-reference.com/cbb/schools/california/2022.html,Pac-12 Conference,https://cdn.ssref.net/req/202212072/tlogo/ncaa/california.png,32,40.3,23.6,56.2,0.42,18.2,38.4,0.473,5.5,17.8,0.308,10.3,14.2,0.727,8.7,26.3,35,10.7,4.9,2.6,11.2,16.5,63.1
