"","Player","G","GS","MP","FG","FGA","FG%","2P","2PA","2P%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","school"
"1","Bennedict Mathurin",37,37,32.5,5.9,13.1,0.45,3.6,7,0.521,2.2,6.1,0.369,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1,0.3,1.8,1.8,17.7,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"2","Azuolas Tubelis",36,35,24.6,5.4,10.1,0.54,5.2,9,0.572,0.3,1.1,0.263,2.7,4,0.669,1.9,4.3,6.2,2.3,1.1,0.7,2.1,1.9,13.9,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"3","Christian Koloko",37,37,25.4,4.9,7.8,0.635,4.9,7.7,0.642,0,0.1,0,2.7,3.7,0.735,2.6,4.7,7.3,1.4,0.8,2.8,1.6,2.8,12.6,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"4","Kerr Kriisa",33,31,29.5,3,8.7,0.348,0.6,1.5,0.408,2.4,7.2,0.336,1.2,1.5,0.816,0.5,2,2.5,4.7,0.6,0.1,2.2,1.8,9.7,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"5","Dalen Terry",37,37,27.8,3.1,6.2,0.502,2.4,4.1,0.572,0.8,2.1,0.364,1.1,1.4,0.736,1.2,3.7,4.8,3.9,1.2,0.3,1.4,2.3,8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"6","Pelle Larsson",37,2,20.7,2.3,4.9,0.478,1.4,2.4,0.596,0.9,2.5,0.363,1.6,2,0.813,0.8,2.6,3.4,1.8,0.8,0.2,1.5,2.5,7.2,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"7","Oumar Ballo",37,0,15.2,2.5,4,0.622,2.5,4,0.622,0,0,NA,1.8,2.6,0.701,1.6,2.8,4.4,0.6,0.4,1.2,0.9,1.6,6.8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"8","Justin Kier",37,6,20.1,2.4,5.4,0.443,1.5,2.8,0.519,0.9,2.6,0.361,1.1,1.3,0.83,0.3,2.8,3.1,2.2,0.6,0,1.4,1.3,6.8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"9","Kim Aiken",7,0,13.6,1.9,3.9,0.481,0.6,1.6,0.364,1.3,2.3,0.563,0,0.3,0,1.1,2.3,3.4,2,1,0.3,0.4,1.1,5,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"10","Adama Bal",23,0,4.5,0.6,1.2,0.481,0.2,0.4,0.5,0.3,0.7,0.471,0,0.1,0,0.1,0.3,0.4,0.4,0.1,0,0.3,0.4,1.5,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"11","Shane Nowell",19,0,3.5,0.3,0.9,0.333,0.3,0.7,0.385,0.1,0.3,0.2,0.1,0.1,1,0,0.8,0.8,0.3,0.2,0.1,0.4,0.5,0.8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"12","Jordan Mains",15,0,2,0.2,0.5,0.429,0.2,0.3,0.75,0,0.2,0,0.3,0.4,0.667,0.3,0.5,0.8,0,0.1,0,0.1,0.3,0.7,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"13","Tautvilas Tubelis",14,0,1.7,0.1,0.5,0.286,0.1,0.3,0.5,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0.3,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"14","Grant Weitman",16,0,1.6,0.1,0.2,0.333,0.1,0.1,1,0,0.1,0,0,0,NA,0.1,0.1,0.2,0,0,0,0.1,0.2,0.1,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"15","Johnny Juzang",30,29,31.8,6,13.8,0.432,4.5,9.6,0.464,1.5,4.2,0.36,2.2,2.6,0.835,0.8,4,4.7,1.8,0.7,0.1,1.6,2,15.6,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"16","Jaime Jaquez",34,34,30.5,5.1,10.9,0.472,4.5,8.7,0.522,0.6,2.2,0.276,3,3.9,0.761,1.7,4,5.7,2.3,1.1,0.3,1.4,1.6,13.9,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"17","Jules Bernard",35,34,30.1,4.2,10,0.419,2.6,5.3,0.492,1.6,4.7,0.337,2.8,3.5,0.818,0.8,3.9,4.7,1.7,1,0.2,1,1.7,12.8,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"18","Tyger Campbell",33,33,32.4,4.2,9.4,0.444,2.7,5.7,0.466,1.5,3.7,0.41,2,2.4,0.838,0.4,2.1,2.5,4.3,1,0.1,1.3,1.9,11.9,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"19","Cody Riley",26,20,21.6,2.7,5.9,0.464,2.6,5.6,0.462,0.2,0.3,0.5,1.7,2.5,0.672,1.1,2.8,3.9,1,0.7,0.4,0.9,2.5,7.3,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"20","Jaylen Clark",29,6,18.1,2.8,5.5,0.506,2.6,4.6,0.556,0.2,0.9,0.259,0.9,1.7,0.542,1.6,2.2,3.8,1,1.1,0.2,0.7,1.9,6.7,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"21","David Singleton",33,4,16.7,1.7,3.5,0.479,0.6,1.1,0.543,1.1,2.5,0.451,0.3,0.5,0.6,0.3,1.2,1.5,0.9,0.5,0.2,0.3,1.1,4.8,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"22","Myles Johnson",35,15,18.1,1.5,2.3,0.63,1.5,2.3,0.63,0,0,NA,0.7,1.3,0.533,2.5,2.9,5.4,0.7,0.6,1.3,1,2.1,3.6,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"23","Peyton Watson",32,0,12.7,1.2,3.7,0.322,1,2.7,0.356,0.2,1,0.226,0.7,1,0.688,0.9,2,2.9,0.8,0.6,0.6,0.9,1.6,3.3,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"24","Jake Kyman",23,0,8,0.9,2.3,0.37,0.5,1,0.478,0.4,1.3,0.29,0.3,0.3,1,0.2,0.9,1,0.5,0.2,0,0.1,0.6,2.4,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"25","Kenneth Nwuba",20,0,6.4,0.5,0.8,0.667,0.5,0.8,0.667,0,0,NA,0.2,0.4,0.5,0.4,0.6,0.9,0.2,0.1,0.3,0.4,1.2,1.2,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"26","Russell Stong",12,0,1.8,0.1,0.3,0.333,0,0,NA,0.1,0.3,0.333,0,0,NA,0,0.3,0.3,0.1,0,0,0.3,0.3,0.3,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"27","Logan Cremonesi",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"28","Isaiah Mobley",32,32,34.1,5,11.3,0.445,3.7,7.5,0.492,1.3,3.8,0.352,2.8,4,0.682,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2,14.2,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"29","Boogie Ellis",33,33,29.8,4.3,10.4,0.417,2.6,5.9,0.448,1.7,4.5,0.376,2.2,2.7,0.798,0.5,2.8,3.3,2.4,0.8,0.2,1.8,2.2,12.5,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"30","Drew Peterson",34,34,33,4.4,9.4,0.467,2.9,5.9,0.5,1.4,3.5,0.412,2.2,3.1,0.717,1.1,5.1,6.2,3.3,0.7,0.8,2.4,1.6,12.4,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"31","Chevez Goodwin",34,34,24.5,4.8,8.4,0.57,4.8,8.4,0.57,0,0,NA,1.4,3.1,0.471,2.7,3.8,6.4,0.6,0.4,0.5,1.7,2.5,11,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"32","Max Agbonkpolo",33,18,21.4,2.9,6.4,0.455,2.1,3.6,0.583,0.8,2.8,0.286,1.1,1.5,0.714,0.8,2.7,3.5,0.7,0.5,0.5,1.3,1.8,7.7,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
